,Unnamed: 0,id,name,location,sampling_rate,lfp_sampling_rate,has_lfp_data,session,inserted
171,171,566,probeE,See electrode locations,30000.074291566347,,False,1243799530,True
172,172,567,probeF,See electrode locations,30000.121094317088,,False,1243799530,True
174,174,129,probeB,See electrode locations,29999.94936999689,,False,1180266229,True
175,175,130,probeC,See electrode locations,30000.220505094025,,False,1180266229,True
176,176,131,probeD,See electrode locations,30000.10827818472,,False,1180266229,True
177,177,132,probeE,See electrode locations,30000.071668551915,,False,1180266229,True
178,178,133,probeF,See electrode locations,30000.12218664784,,False,1180266229,True
180,180,101,probeB,See electrode locations,29999.94602671701,,False,1190094328,True
181,181,104,probeC,See electrode locations,30000.21540630136,,False,1190094328,True
184,184,259,probeA,See electrode locations,30000.10719789424,,False,1199448636,True
185,185,260,probeB,See electrode locations,29999.93184480922,,False,1199448636,True
186,186,261,probeC,See electrode locations,30000.1968120399,,False,1199448636,True
187,187,262,probeD,See electrode locations,30000.08814479661,,False,1199448636,True
188,188,263,probeE,See electrode locations,30000.057304613143,,False,1199448636,True
189,189,264,probeF,See electrode locations,30000.10719789424,,False,1199448636,True
190,190,568,probeA,See electrode locations,30000.11920770915,,False,1244070169,True
191,191,569,probeB,See electrode locations,29999.94109639804,,False,1244070169,True
192,192,570,probeC,See electrode locations,30000.239815923527,,False,1244070169,True
194,194,572,probeE,See electrode locations,30000.067471398623,,False,1244070169,True
195,195,573,probeF,See electrode locations,30000.114264749547,,False,1244070169,True
196,196,181,probeA,See electrode locations,30000.1262331194,,False,1191131853,True
197,197,182,probeB,See electrode locations,29999.94910631973,,False,1191131853,True
198,198,183,probeC,See electrode locations,30000.21972119324,,False,1191131853,True
199,199,184,probeD,See electrode locations,30000.109279323624,,False,1191131853,True
200,200,185,probeE,See electrode locations,30000.07359562013,,False,1191131853,True
201,201,186,probeF,See electrode locations,30000.123972613303,,False,1191131853,True
202,202,6,probeA,See electrode locations,30000.12375252051,,False,1182628226,True
203,203,7,probeB,See electrode locations,29999.946304158653,,False,1182628226,True
204,204,8,probeC,See electrode locations,30000.21700764848,,False,1182628226,True
205,205,9,probeD,See electrode locations,30000.10381635358,,False,1182628226,True
206,206,10,probeE,See electrode locations,30000.06756877734,,False,1182628226,True
207,207,11,probeF,See electrode locations,30000.1202925246,,False,1182628226,True
208,208,609,probeA,See electrode locations,30000.10543887976,,False,1197514969,True
209,209,610,probeB,See electrode locations,29999.929813467483,,False,1197514969,True
210,210,611,probeC,See electrode locations,30000.19388790985,,False,1197514969,True
211,211,612,probeD,See electrode locations,30000.086030999057,,False,1197514969,True
212,212,613,probeE,See electrode locations,30000.05501020613,,False,1197514969,True
213,213,614,probeF,See electrode locations,30000.105757041743,,False,1197514969,True
214,214,235,probeA,See electrode locations,30000.10187873706,,False,1195036753,True
215,215,236,probeB,See electrode locations,29999.926617449983,,False,1195036753,True
216,216,237,probeC,See electrode locations,30000.19145672824,,False,1195036753,True
217,217,238,probeD,See electrode locations,30000.08289209763,,False,1195036753,True
218,218,239,probeE,See electrode locations,30000.05173453548,,False,1195036753,True
219,219,240,probeF,See electrode locations,30000.10236557397,,False,1195036753,True
220,220,306,probeA,See electrode locations,30000.10555920808,,False,1200878248,True
221,221,303,probeB,See electrode locations,29999.9299635847,,False,1200878248,True
222,222,305,probeC,See electrode locations,30000.1926842396,,False,1200878248,True
223,223,302,probeD,See electrode locations,30000.084366632847,,False,1200878248,True
224,224,304,probeE,See electrode locations,30000.0534187452,,False,1200878248,True
225,225,301,probeF,See electrode locations,30000.10387725766,,False,1200878248,True
226,226,478,probeA,See electrode locations,30000.11428850832,,False,1231219674,True
227,227,479,probeB,See electrode locations,29999.934462785965,,False,1231219674,True
228,228,480,probeC,See electrode locations,30000.23477338154,,False,1231219674,True
229,229,481,probeD,See electrode locations,30000.09576498359,,False,1231219674,True
230,230,482,probeE,See electrode locations,30000.06248820908,,False,1231219674,True
231,231,483,probeF,See electrode locations,30000.109862533376,,False,1231219674,True
232,232,205,probeA,See electrode locations,30000.10381203078,,False,1197725774,True
233,233,206,probeB,See electrode locations,29999.928970715784,,False,1197725774,True
234,234,207,probeC,See electrode locations,30000.191395786514,,False,1197725774,True
235,235,208,probeD,See electrode locations,30000.083261652333,,False,1197725774,True
236,236,209,probeE,See electrode locations,30000.05259918292,,False,1197725774,True
237,237,210,probeF,See electrode locations,30000.10315963781,,False,1197725774,True
238,238,211,probeA,See electrode locations,30000.09858394541,,False,1197967151,True
239,239,212,probeB,See electrode locations,29999.922655946342,,False,1197967151,True
240,240,213,probeC,See electrode locations,30000.18470029929,,False,1197967151,True
241,241,214,probeD,See electrode locations,30000.076090867908,,False,1197967151,True
242,242,215,probeE,See electrode locations,30000.046849867147,,False,1197967151,True
243,243,216,probeF,See electrode locations,30000.096173972823,,False,1197967151,True
244,244,370,probeA,See electrode locations,30000.101111480948,,False,1214740195,True
245,245,371,probeB,See electrode locations,29999.925272447483,,False,1214740195,True
246,246,372,probeC,See electrode locations,30000.187658516705,,False,1214740195,True
247,247,373,probeD,See electrode locations,30000.08012059541,,False,1214740195,True
